childid,country,round,yc,math,group
ET041027,1,2,0,489.1445007,1
ET041028,1,2,0,372.6396484,1
ET041029,1,2,0,267.4767761,1
ET041030,1,2,0,526.8723755,1
ET041031,1,2,0,641.9040527,1
ET041032,1,2,0,349.6355286,1
ET041033,1,2,0,358.3522949,1
ET041034,1,2,0,463.7262268,1
ET041035,1,2,0,463.7612305,1
ET041036,1,2,0,350.8217163,1
ET041037,1,2,0,344.8738098,1
ET041038,1,2,0,494.506958,1
ET041039,1,2,0,495.4787903,1
ET041040,1,2,0,493.6970825,1
ET041041,1,2,0,373.9823608,1
ET041042,1,2,0,407.053833,1
ET041043,1,2,0,356.5587463,1
ET041044,1,2,0,353.4334412,1
ET041045,1,2,0,403.9598389,1
ET041046,1,2,0,373.3821411,1
ET041047,1,2,0,361.5082092,1
ET041048,1,2,0,555.2805786,1
ET041049,1,2,0,484.7397156,1
ET041050,1,2,0,528.3309937,1
ET051001,1,2,0,366.0788879,1
ET051002,1,2,0,252.9148407,1
ET051003,1,2,0,408.8110962,1
ET051004,1,2,0,422.7790222,1
ET051005,1,2,0,364.7424011,1
ET051006,1,2,0,385.7845764,1
ET051007,1,2,0,381.693512,1
ET051008,1,2,0,536.0949707,1
ET051009,1,2,0,394.2414246,1
ET051010,1,2,0,401.2420654,1
ET051011,1,2,0,499.5525513,1
ET051012,1,2,0,439.0466309,1
ET051013,1,2,0,464.4729919,1
ET051014,1,2,0,311.0325928,1
ET051015,1,2,0,345.1059875,1
ET051017,1,2,0,302.3749084,1
ET051018,1,2,0,393.150238,1
ET051019,1,2,0,528.55896,1
ET051020,1,2,0,307.8818054,1
ET051022,1,2,0,546.3547974,1
ET051023,1,2,0,336.4274292,1
ET051024,1,2,0,467.1993103,1
ET051025,1,2,0,313.8981018,1
ET051026,1,2,0,393.0145874,1
ET051027,1,2,0,476.634613,1
ET051028,1,2,0,363.7589722,1
ET051029,1,2,0,372.8992004,1
ET051030,1,2,0,451.7316895,1
ET051031,1,2,0,368.5904846,1
ET051033,1,2,0,324.9436951,1
ET051035,1,2,0,364.1023254,1
ET051036,1,2,0,330.0226746,1
ET051037,1,2,0,379.4500122,1
ET051038,1,2,0,481.8796387,1
ET051039,1,2,0,322.2959595,1
ET051040,1,2,0,527.9090576,1
ET051041,1,2,0,398.8084106,1
ET051042,1,2,0,426.9735107,1
ET051043,1,2,0,413.7369995,1
ET051044,1,2,0,403.8214111,1
ET051045,1,2,0,391.5163879,1
ET051046,1,2,0,321.0835571,1
ET051047,1,2,0,372.8190918,1
ET051048,1,2,0,347.1307068,1
ET051049,1,2,0,519.9266357,1
ET051050,1,2,0,462.7067871,1
ET061002,1,2,0,351.9041443,1
ET061003,1,2,0,410.0672302,1
ET061004,1,2,0,238.7617493,1
ET061005,1,2,0,511.5238953,1
ET061007,1,2,0,389.4528198,1
ET061008,1,2,0,556.3334351,1
ET061009,1,2,0,534.6586914,1
ET061010,1,2,0,484.288147,1
ET061015,1,2,0,443.653595,1
ET061020,1,2,0,472.5863953,1
ET061021,1,2,0,376.3237915,1
ET061022,1,2,0,548.7236328,1
ET061023,1,2,0,415.3910828,1
ET061024,1,2,0,349.8654175,1
ET061025,1,2,0,557.0235596,1
ET061026,1,2,0,267.0730286,1
ET061028,1,2,0,319.5387268,1
ET061029,1,2,0,437.6643066,1
ET061031,1,2,0,465.6539917,1
ET061034,1,2,0,382.6819458,1
ET061036,1,2,0,457.5723572,1
ET061037,1,2,0,403.5537109,1
ET061039,1,2,0,410.3351746,1
ET061040,1,2,0,382.8230591,1
ET061041,1,2,0,408.3247375,1
ET061044,1,2,0,443.8568726,1
ET061046,1,2,0,377.1899414,1
ET061047,1,2,0,362.2254639,1
ET061049,1,2,0,384.555481,1
ET061050,1,2,0,400.3294373,1
ET061051,1,2,0,530.1194458,1
ET061052,1,2,0,615.3681641,1
ET061053,1,2,0,647.5752563,1
ET061054,1,2,0,460.133667,1
ET061056,1,2,0,512.020874,1
ET061057,1,2,0,369.8199768,1
ET061058,1,2,0,322.394043,1
ET061059,1,2,0,395.9911804,1
ET071001,1,2,0,451.5257568,1
ET071002,1,2,0,302.3188782,1
ET071003,1,2,0,517.1539307,1
ET071004,1,2,0,370.8251953,1
ET071005,1,2,0,408.7107544,1
ET071006,1,2,0,445.112854,1
ET071007,1,2,0,379.055603,1
ET071008,1,2,0,418.9863586,1
ET071009,1,2,0,379.6693115,1
ET071010,1,2,0,522.9038086,1
ET071011,1,2,0,373.0492249,1
ET071012,1,2,0,367.2173157,1
ET071013,1,2,0,497.3660889,1
ET071014,1,2,0,322.0756531,1
ET071015,1,2,0,240.4746857,1
ET071016,1,2,0,404.9159241,1
ET071017,1,2,0,383.0093689,1
ET071018,1,2,0,305.802063,1
ET071019,1,2,0,508.5133362,1
ET071020,1,2,0,510.1822205,1
ET071021,1,2,0,328.5325928,1
ET071022,1,2,0,316.9483032,1
ET071024,1,2,0,519.8285522,1
ET071025,1,2,0,436.8013306,1
ET071026,1,2,0,484.7189331,1
ET071027,1,2,0,326.8043823,1
ET071028,1,2,0,378.1634521,1
ET071029,1,2,0,422.983551,1
ET071030,1,2,0,656.9855957,1
ET071031,1,2,0,372.8519287,1
ET071032,1,2,0,453.2318115,1
ET071033,1,2,0,491.2686462,1
ET071034,1,2,0,403.311615,1
ET071035,1,2,0,385.5384216,1
ET071036,1,2,0,493.0962219,1
ET071037,1,2,0,468.2689819,1
ET071039,1,2,0,458.3803101,1
ET071040,1,2,0,393.7802734,1
ET071041,1,2,0,489.7233276,1
ET071042,1,2,0,314.9564514,1
ET071043,1,2,0,561.4997559,1
ET071044,1,2,0,385.9883423,1
ET071045,1,2,0,536.0631714,1
ET071046,1,2,0,437.5594788,1
ET071047,1,2,0,419.8265381,1
ET071048,1,2,0,496.1489563,1
ET071049,1,2,0,348.526001,1
ET071050,1,2,0,511.0596924,1
ET081001,1,2,0,306.7763367,1
ET081002,1,2,0,318.3797913,1
ET081003,1,2,0,533.5179443,1
ET081004,1,2,0,350.49646,1
ET081005,1,2,0,367.4472046,1
ET081006,1,2,0,194.672287,1
ET081007,1,2,0,210.4759216,1
ET081008,1,2,0,482.3034363,1
ET081009,1,2,0,386.8334961,1
ET081010,1,2,0,308.2001953,1
ET081011,1,2,0,377.8230286,1
ET081012,1,2,0,329.3757019,1
ET081013,1,2,0,312.8155823,1
ET081014,1,2,0,350.4126587,1
ET081015,1,2,0,291.4477539,1
ET081016,1,2,0,517.0255737,1
ET081017,1,2,0,338.2155151,1
ET081018,1,2,0,408.3872681,1
ET081019,1,2,0,503.7018127,1
ET081020,1,2,0,420.2288513,1
ET081021,1,2,0,364.5544434,1
ET081022,1,2,0,438.8713684,1
ET081023,1,2,0,459.6789856,1
ET081024,1,2,0,258.7706909,1
ET081026,1,2,0,227.022049,1
ET081027,1,2,0,456.4387817,1
ET081028,1,2,0,213.3045197,1
ET081029,1,2,0,358.0717468,1
ET081030,1,2,0,283.0307617,1
ET081031,1,2,0,356.8818359,1
ET081032,1,2,0,429.8230896,1
ET081033,1,2,0,439.4503479,1
ET081034,1,2,0,455.6054688,1
ET081035,1,2,0,387.2633057,1
ET081036,1,2,0,536.3189087,1
ET081037,1,2,0,398.0716553,1
ET081038,1,2,0,482.2925415,1
ET081039,1,2,0,429.3424683,1
ET081040,1,2,0,368.8715515,1
ET081041,1,2,0,411.8518677,1
ET081042,1,2,0,549.6398315,1
ET081043,1,2,0,438.6017761,1
ET081044,1,2,0,446.0308228,1
ET081045,1,2,0,563.8567505,1
ET081046,1,2,0,499.6470337,1
ET081047,1,2,0,729.7811279,1
ET081048,1,2,0,279.891449,1
ET081049,1,2,0,444.690918,1
ET081050,1,2,0,276.5292358,1
ET091001,1,2,0,395.5901184,1
ET091002,1,2,0,262.230957,1
ET091003,1,2,0,443.2449036,1
ET091004,1,2,0,305.6594238,1
ET091005,1,2,0,359.4830933,1
ET091006,1,2,0,270.3728333,1
ET091007,1,2,0,531.8833008,1
ET091008,1,2,0,325.3652649,1
ET091010,1,2,0,514.630249,1
ET091011,1,2,0,272.2946472,1
ET091012,1,2,0,427.759552,1
ET091013,1,2,0,454.2152405,1
ET091015,1,2,0,334.6266174,1
ET091016,1,2,0,390.9124451,1
ET091017,1,2,0,613.920105,1
ET091019,1,2,0,449.3591614,1
ET091020,1,2,0,397.8487854,1
ET091021,1,2,0,303.6039124,1
ET091022,1,2,0,358.2058411,1
ET091023,1,2,0,373.0641174,1
ET091024,1,2,0,257.6257629,1
ET091025,1,2,0,505.230072,1
ET091026,1,2,0,507.6208191,1
ET091027,1,2,0,452.7427673,1
ET091028,1,2,0,303.5058289,1
ET091029,1,2,0,361.599884,1
ET091030,1,2,0,479.0093384,1
ET091031,1,2,0,476.8499451,1
ET091032,1,2,0,427.0856934,1
ET091033,1,2,0,324.019104,1
ET091034,1,2,0,379.8212585,1
ET091035,1,2,0,343.9885559,1
ET091036,1,2,0,358.9842529,1
ET091037,1,2,0,355.29422,1
ET091038,1,2,0,392.7870178,1
ET091039,1,2,0,513.5039063,1
ET091040,1,2,0,417.347168,1
ET091041,1,2,0,212.8791504,1
ET091042,1,2,0,312.7531738,1
ET091043,1,2,0,322.874176,1
ET091044,1,2,0,399.4323425,1
ET091045,1,2,0,358.9659119,1
ET091046,1,2,0,371.6540222,1
ET091047,1,2,0,296.4528503,1
ET091048,1,2,0,418.4093018,1
ET091049,1,2,0,251.4464417,1
ET091050,1,2,0,343.5326233,1
ET101001,1,2,0,334.6571655,1
ET101002,1,2,0,466.9076538,1
ET101003,1,2,0,526.2549438,1
ET101004,1,2,0,425.6279907,1
ET101005,1,2,0,410.4431763,1
ET101006,1,2,0,463.983429,1
ET101007,1,2,0,606.4481201,1
ET101008,1,2,0,246.9864197,1
ET101009,1,2,0,485.5604248,1
ET101010,1,2,0,495.6102295,1
ET101011,1,2,0,473.0277405,1
ET101012,1,2,0,486.7282715,1
