childid,round,yc,theta_eap,read_score,country,group,language
ET041015,4,0,1.115810037,1.467990637,1,3,1
ET041016,4,0,0.096534297,0.319258362,1,3,1
ET041017,4,0,1.120069981,1.472791553,1,3,1
ET041020,4,0,1.004390001,1.342419267,1,3,1
ET041021,4,0,0.812036991,1.125635862,1,3,1
ET041022,4,0,-0.868393004,-0.768222749,1,3,1
ET041023,4,0,0.23071,0.470475495,1,3,1
ET041024,4,0,1.381629944,1.767571807,1,3,1
ET041025,4,0,0.253363013,0.496005625,1,3,1
ET041026,4,0,-0.590613008,-0.455162376,1,3,1
ET041027,4,0,0.796683013,1.1083318,1,3,1
ET041028,4,0,-0.245902002,-0.066670209,1,3,1
ET041029,4,0,-1.186050057,-1.126224875,1,3,1
ET041030,4,0,0.343293011,0.597357452,1,3,1
ET041031,4,0,0.715067983,1.016350985,1,3,1
ET041032,4,0,0.350515991,0.605497837,1,3,1
ET041034,4,0,0.745606005,1.050767541,1,3,1
ET041035,4,0,0.730257988,1.033470273,1,3,1
ET041036,4,0,0.366082013,0.623040855,1,3,1
ET041037,4,0,0.164989993,0.396408498,1,3,1
ET041038,4,0,1.257040024,1.627157927,1,3,1
ET041039,4,0,0.807268977,1.120262265,1,3,1
ET041040,4,0,0.816426992,1.130583405,1,3,1
ET041041,4,0,0.715130985,1.016421914,1,3,1
ET041042,4,0,-0.203071997,-0.018400436,1,3,1
ET041043,4,0,-0.035264801,0.170719668,1,3,1
ET041044,4,0,0.272911012,0.518036366,1,3,1
ET041045,4,0,1.261739969,1.632454872,1,3,1
ET041046,4,0,0.465041012,0.734568477,1,3,1
ET041048,4,0,0.135192007,0.3628259,1,3,1
ET041049,4,0,0.795231998,1.106696486,1,3,1
ET041050,4,0,1.571159959,1.981173754,1,3,1
ET051001,4,0,0.0120104,0.223999217,1,3,1
ET051002,4,0,0.160809994,0.391697586,1,3,1
ET051003,4,0,-0.101911001,0.095608845,1,3,1
ET051004,4,0,-0.178421006,0.009381437,1,3,1
ET051005,4,0,-2.070600033,-2.12312007,1,3,1
ET051006,4,0,-0.280703008,-0.105891228,1,3,1
ET051007,4,0,-0.484724998,-0.335825711,1,3,1
ET051008,4,0,0.216401994,0.454350233,1,3,1
ET051009,4,0,-1.091840029,-1.020049453,1,3,1
ET051010,4,0,-1.379510045,-1.344255924,1,3,1
ET051012,4,0,0.663455009,0.958182693,1,3,1
ET051013,4,0,-1.083520055,-1.010672688,1,3,1
ET051014,4,0,-1.015580058,-0.934103787,1,3,1
ET051015,4,0,0.353255004,0.608584702,1,3,1
ET051016,4,0,-0.383206993,-0.221414074,1,3,1
ET051017,4,0,-0.906159997,-0.810786486,1,3,1
ET051018,4,0,-1.620120049,-1.615425348,1,3,1
ET051019,4,0,0.089194,0.310985774,1,3,1
ET051021,4,0,0.203152001,0.439417392,1,3,1
