childid,yc,round,theta_eap,ppvt_score,country,group,language
ET011001,0,2,-0.476016015,1.069522619,1,1,1
ET011002,0,2,0.157547995,2.087730169,1,1,1
ET011003,0,2,0.366118997,2.422926903,1,1,1
ET011004,0,2,0.074085698,1.953597069,1,1,1
ET011005,0,2,-0.135398999,1.616931915,1,1,1
ET011006,0,2,-0.147749007,1.597084165,1,1,1
ET011007,0,2,0.269199014,2.267165899,1,1,1
ET011008,0,2,0.26524201,2.260806561,1,1,1
ET011010,0,2,0.736129999,3.017575741,1,1,1
ET011012,0,2,0.648155987,2.876191616,1,1,1
ET011013,0,2,0.577248991,2.762236357,1,1,1
ET011014,0,2,0.900976002,3.282501459,1,1,1
ET011015,0,2,0.671423972,2.913585901,1,1,1
ET011016,0,2,0.778941989,3.08637929,1,1,1
ET011017,0,2,-0.262690008,1.412361145,1,1,1
ET011018,0,2,0.726435006,3.001994848,1,1,1
ET011019,0,2,0.309269011,2.331562757,1,1,1
ET011020,0,2,0.195179999,2.148209095,1,1,1
ET011021,0,2,0.332204014,2.368421793,1,1,1
ET011022,0,2,1.55302,4.330408573,1,1,1
ET011023,0,2,0.242927998,2.224945307,1,1,1
ET011024,0,2,1.082010031,3.573443174,1,1,1
ET011025,0,2,-0.36461699,1.248553157,1,1,1
ET011026,0,2,0.727847993,3.004265547,1,1,1
ET011027,0,2,0.351859003,2.400009632,1,1,1
ET011028,0,2,0.941302001,3.347309828,1,1,1
ET011030,0,2,0.445308,2.550192595,1,1,1
ET011031,0,2,0.640910029,2.864546537,1,1,1
ET011032,0,2,0.146708995,2.070310831,1,1,1
ET011033,0,2,0.921504974,3.315493822,1,1,1
ET011034,0,2,1.191480041,3.749373674,1,1,1
ET011035,0,2,0.515522003,2.663034201,1,1,1
ET011036,0,2,0.994560003,3.432901382,1,1,1
ET011037,0,2,0.272076011,2.271789551,1,1,1
ET011038,0,2,0.247601002,2.232455492,1,1,1
ET011039,0,2,0.605530977,2.807688475,1,1,1
ET011040,0,2,0.38706699,2.456592798,1,1,1
ET011041,0,2,0.466675997,2.584533215,1,1,1
ET011042,0,2,0.918362975,3.310444355,1,1,1
ET011043,0,2,0.066056199,1.940692782,1,1,1
ET011044,0,2,0.311756015,2.335559607,1,1,1
ET011045,0,2,0.863556981,3.222364902,1,1,1
ET011046,0,2,0.460004985,2.573812246,1,1,1
ET011048,0,2,1.734030008,4.621311665,1,1,1
ET011049,0,2,0.722374022,2.995468378,1,1,1
ET011050,0,2,0.818229973,3.149519444,1,1,1
ET021001,0,2,1.558410048,4.339070797,1,1,1
ET021002,0,2,-0.376740009,1.229070187,1,1,1
ET021003,0,2,0.607626021,2.81105566,1,1,1
ET021004,0,2,0.619620979,2.830332756,1,1,1
ET021005,0,2,0.350695014,2.398139,1,1,1
ET021006,0,2,0.730445027,3.008439302,1,1,1
ET021007,0,2,0.796853006,3.11516428,1,1,1
ET021008,0,2,0.947256029,3.356878519,1,1,1
ET021009,0,2,0.541538,2.704844713,1,1,1
ET021010,0,2,0.225178003,2.196419239,1,1,1
ET021011,0,2,0.448812991,2.555825472,1,1,1
ET021012,0,2,0.826583028,3.16294384,1,1,1
ET021013,0,2,1.080170035,3.570486069,1,1,1
ET021014,0,2,0.412957996,2.498202324,1,1,1
ET021015,0,2,-0.094658896,1.682405829,1,1,1
ET021016,0,2,0.569737971,2.750165224,1,1,1
ET021017,0,2,0.520796001,2.671509981,1,1,1
ET021018,0,2,-0.065093502,1.729920626,1,1,1
ET021019,0,2,0.702413023,2.963388681,1,1,1
ET021020,0,2,1.045680046,3.515056849,1,1,1
ET021021,0,2,0.534628987,2.693741322,1,1,1
ET021022,0,2,0.526690006,2.680982351,1,1,1
ET021023,0,2,0.812519014,3.140341282,1,1,1
ET021024,0,2,0.877865016,3.245359659,1,1,1
ET021025,0,2,-0.222939998,1.476243854,1,1,1
ET021026,0,2,0.984504998,3.416741848,1,1,1
ET021027,0,2,1.430590034,4.133649826,1,1,1
ET021028,0,2,0.490238994,2.622401476,1,1,1
ET021029,0,2,-0.00441522,1.827437401,1,1,1
ET021030,0,2,0.190724999,2.141049385,1,1,1
ET021031,0,2,0.884379983,3.255829811,1,1,1
ET021032,0,2,0.735092998,3.015909195,1,1,1
ET021033,0,2,0.688821018,2.94154501,1,1,1
ET021034,0,2,1.640660048,4.471255779,1,1,1
ET021035,0,2,0.555341005,2.727027655,1,1,1
ET021036,0,2,0.315788001,2.342039585,1,1,1
ET021037,0,2,-0.075157799,1.71374619,1,1,1
ET021038,0,2,0.998923004,3.439913273,1,1,1
ET021039,0,2,0.28778401,2.297034025,1,1,1
ET021040,0,2,1.197370052,3.758839607,1,1,1
ET021041,0,2,0.702525973,2.963570356,1,1,1
ET021042,0,2,0.858641982,3.214466095,1,1,1
ET021043,0,2,0.467164993,2.585319042,1,1,1
ET021044,0,2,0.414036989,2.499936581,1,1,1
ET021045,0,2,0.575639009,2.7596488,1,1,1
ET021046,0,2,0.237956002,2.216954947,1,1,1
ET021047,0,2,0.882538974,3.252871037,1,1,1
ET021048,0,2,1.176830053,3.725829601,1,1,1
ET021049,0,2,1.794280052,4.718140125,1,1,1
ET021050,0,2,0.238453999,2.217755079,1,1,1
ET031001,0,2,0.386730999,2.45605278,1,1,1
ET031002,0,2,1.247230053,3.838970184,1,1,1
ET031003,0,2,0.384703994,2.452795029,1,1,1
ET031004,0,2,0.326005995,2.358460903,1,1,1
ET031006,0,2,2.016200066,5.074790001,1,1,1
ET031007,0,2,0.73635602,3.017938852,1,1,1
ET031008,0,2,0.463429987,2.579316616,1,1,1
ET031009,0,2,0.558757007,2.732517719,1,1,1
ET031010,0,2,1.603060007,4.410828114,1,1,1
ET031011,0,2,0.479054004,2.604426146,1,1,1
ET031012,0,2,0.695218027,2.951825619,1,1,1
ET031013,0,2,1.145020008,3.674707174,1,1,1
ET031014,0,2,1.504179955,4.251917362,1,1,1
ET031015,0,2,1.914090037,4.910687923,1,1,1
ET031016,0,2,0.847468019,3.196508169,1,1,1
ET031017,0,2,0.984314978,3.416436434,1,1,1
ET031018,0,2,0.890186012,3.265160799,1,1,1
ET031019,0,2,0.776044011,3.081722021,1,1,1
ET031020,0,2,-0.217389002,1.485164881,1,1,1
ET031021,0,2,1.566730022,4.352441788,1,1,1
ET031022,0,2,1.475600004,4.205986023,1,1,1
ET031023,0,2,1.599040031,4.404367924,1,1,1
ET031024,0,2,1.817139983,4.754878521,1,1,1
ET031025,0,2,0.593612015,2.788533449,1,1,1
ET031026,0,2,0.659229994,2.893988848,1,1,1
ET031027,0,2,1.782189965,4.698709965,1,1,1
ET031028,0,2,0.700276971,2.959955931,1,1,1
ET031029,0,2,0.55776,2.730915308,1,1,1
ET031030,0,2,1.392869949,4.073029518,1,1,1
ET031031,0,2,1.076810002,3.565086126,1,1,1
ET031033,0,2,0.77749002,3.084045887,1,1,1
ET031034,0,2,1.054659963,3.529488564,1,1,1
ET031035,0,2,0.954832017,3.369054079,1,1,1
ET031036,0,2,1.402570009,4.088618755,1,1,1
ET031037,0,2,0.861510992,3.219076872,1,1,1
ET031038,0,2,0.690602005,2.944407225,1,1,1
ET031039,0,2,0.979038,3.407955885,1,1,1
ET031040,0,2,0.209765002,2.171648741,1,1,1
ET031042,0,2,0.883369029,3.254205227,1,1,1
ET031043,0,2,0.546068013,2.712125063,1,1,1
ET031044,0,2,1.561020017,4.343265533,1,1,1
ET031045,0,2,0.538639009,2.700185776,1,1,1
ET031046,0,2,0.233492002,2.209780693,1,1,1
ET031047,0,2,0.975377977,3.402073622,1,1,1
ET031048,0,2,1.014070034,3.464256048,1,1,1
ET031050,0,2,0.872693002,3.237047672,1,1,1
ET041001,0,2,0.374098003,2.435750008,1,1,1
ET041002,0,2,-0.336457014,1.293809414,1,1,1
ET041003,0,2,0.028811,1.880835652,1,1,1
ET041004,0,2,-0.075336203,1.713459492,1,1,1
ET041006,0,2,0.441956013,2.544805527,1,1,1
ET041007,0,2,-0.200665995,1.512040615,1,1,1
ET041008,0,2,-0.190063998,1.529079199,1,1,1
ET041009,0,2,1.092300057,3.589980364,1,1,1
ET041010,0,2,0.383311003,2.450556517,1,1,1
ET041011,0,2,1.626430035,4.448386669,1,1,1
ET041012,0,2,-0.119836003,1.641943455,1,1,1
ET041013,0,2,-0.190209001,1.528846145,1,1,1
ET041014,0,2,-0.105956003,1.664250135,1,1,1
ET041015,0,2,-0.0635667,1.73237443,1,1,1
ET041016,0,2,0.294171989,2.307300091,1,1,1
ET041017,0,2,1.213989973,3.785549641,1,1,1
ET041018,0,2,0.904142022,3.28758955,1,1,1
ET041019,0,2,-0.124978997,1.633678079,1,1,1
ET041020,0,2,0.00282342,1.839070678,1,1,1
ET041021,0,2,-0.223821998,1.474826336,1,1,1
ET041022,0,2,-0.253524005,1.427091956,1,1,1
ET041023,0,2,-0.315059006,1.328198433,1,1,1
ET041024,0,2,-0.443134993,1.122366071,1,1,1
ET041025,0,2,0.242679,2.22454524,1,1,1
ET041026,0,2,0.320012987,2.348829508,1,1,1
ET041027,0,2,-0.157891005,1.580784798,1,1,1
ET041028,0,2,-0.583554029,0.896697104,1,1,1
ET041029,0,2,-0.510746002,1.013707638,1,1,1
ET041030,0,2,0.00746272,1.846526623,1,1,1
ET041031,0,2,0.478879005,2.604144812,1,1,1
ET041032,0,2,0.10475,2.002877951,1,1,1
ET041033,0,2,0.300190002,2.316971779,1,1,1
ET041034,0,2,-0.091670498,1.687208533,1,1,1
ET041035,0,2,0.053047098,1.919785738,1,1,1
ET041036,0,2,0.206631005,2.166612148,1,1,1
ET041037,0,2,-0.412844002,1.171047091,1,1,1
ET041038,0,2,1.434540033,4.139997959,1,1,1
ET041039,0,2,0.444303006,2.548577309,1,1,1
ET041040,0,2,0.410154015,2.493696213,1,1,1
ET041041,0,2,0.226037994,2.197801352,1,1,1
ET041042,0,2,0.0359364,1.892286897,1,1,1
ET041043,0,2,1.008489966,3.45528841,1,1,1
ET041044,0,2,0.510137022,2.654379845,1,1,1
ET041045,0,2,0.355179995,2.40534687,1,1,1
ET041046,0,2,0.285784006,2.293819666,1,1,1
ET041047,0,2,0.077671498,1.959359884,1,1,1
ET041048,0,2,0.332975,2.369660854,1,1,1
ET041049,0,2,1.57159996,4.360268593,1,1,1
ET041050,0,2,0.622597992,2.835117102,1,1,1
ET051001,0,2,0.161025003,2.093318224,1,1,1
ET051002,0,2,-0.689705014,0.726100683,1,1,1
ET051003,0,2,0.334351987,2.371873856,1,1,1
ET051004,0,2,-0.293713003,1.362503767,1,1,1
ET051005,0,2,-0.346818,1.277158141,1,1,1
ET051006,0,2,0.038497102,1.89640224,1,1,1
ET051007,0,2,0.242997006,2.225056171,1,1,1
ET051008,0,2,0.264928013,2.260301828,1,1,1
ET051009,0,2,0.205603004,2.164959908,1,1,1
ET051010,0,2,-0.185590997,1.536267877,1,1,1
ET051011,0,2,0.140453994,2.060258389,1,1,1
ET051012,0,2,1.633270025,4.459379196,1,1,1
ET051014,0,2,-0.375221997,1.231509805,1,1,1
ET051015,0,2,-0.00659985,1.823926449,1,1,1
ET051016,0,2,-0.526603997,0.988222122,1,1,1
ET051017,0,2,-0.346235007,1.278095126,1,1,1
ET051018,0,2,-0.237936005,1.45214355,1,1,1
ET051019,0,2,-0.096049704,1.680170655,1,1,1
ET051020,0,2,-0.170172006,1.561047912,1,1,1
ET051021,0,2,-0.736027002,0.651656151,1,1,1
ET051022,0,2,0.601584017,2.801345348,1,1,1
ET051023,0,2,0.570026994,2.750629663,1,1,1
ET051024,0,2,-0.367244989,1.244329691,1,1,1
ET051025,0,2,0.274417996,2.275553226,1,1,1
ET051026,0,2,-0.313463986,1.33076179,1,1,1
ET051027,0,2,-0.446368992,1.117168665,1,1,1
ET051028,0,2,-0.275254011,1.392169476,1,1,1
ET051029,0,2,0.00838456,1.848008037,1,1,1
ET051030,0,2,-0.117804997,1.645207405,1,1,1
ET051031,0,2,-0.397101998,1.196346164,1,1,1
ET051032,0,2,-0.334517986,1.296925664,1,1,1
ET051033,0,2,-0.216615006,1.48640883,1,1,1
ET051034,0,2,-0.273887992,1.394364834,1,1,1
ET051035,0,2,-0.099442802,1.674717546,1,1,1
ET051036,0,2,0.324618012,2.356230259,1,1,1
ET051037,0,2,0.095408797,1.987865686,1,1,1
ET051038,0,2,0.107735001,2.007675171,1,1,1
ET051039,0,2,-0.075226799,1.713635325,1,1,1
ET051040,0,2,0.790318012,3.104661942,1,1,1
ET051041,0,2,0.090540402,1.980041623,1,1,1
ET051042,0,2,0.0313766,1.884958863,1,1,1
ET051043,0,2,-0.126645997,1.630998969,1,1,1
ET051044,0,2,-0.272603989,1.396428347,1,1,1
ET051045,0,2,0.533572972,2.69204402,1,1,1
ET051046,0,2,-0.493057996,1.042134285,1,1,1
ET051047,0,2,0.028135501,1.879750013,1,1,1
ET051048,0,2,-1.074000001,0.108496055,1,1,1
ET051049,0,2,-0.106877998,1.662768364,1,1,1
ET051050,0,2,0.091099098,1.980939507,1,1,1
ET061002,0,2,-0.285427988,1.375818729,1,1,1
ET061003,0,2,-0.373544008,1.234206557,1,1,1
ET061004,0,2,-0.504925013,1.023062706,1,1,1
ET061005,0,2,0.021335799,1.868822098,1,1,1
ET061007,0,2,0.459892005,2.573630571,1,1,1
ET061008,0,2,0.234763995,2.211824894,1,1,1
ET061009,0,2,0.157250002,2.087251425,1,1,1
ET061010,0,2,-0.342379004,1.284292102,1,1,1
ET061011,0,2,-0.220007002,1.480957508,1,1,1
ET061012,0,2,-0.509613991,1.01552701,1,1,1
ET061014,0,2,-0.049110901,1.755606532,1,1,1
ET061015,0,2,-0.036851,1.775309563,1,1,1
ET061016,0,2,-0.720013976,0.677390873,1,1,1
ET061018,0,2,-0.442387998,1.123566628,1,1,1
ET061019,0,2,-0.212933004,1.49232614,1,1,1
ET061020,0,2,-0.071604103,1.719457388,1,1,1
ET061021,0,2,-0.085652798,1.696879625,1,1,1
ET061022,0,2,-0.045724101,1.76104939,1,1,1
ET061023,0,2,-0.034685399,1.778789878,1,1,1
ET061024,0,2,-0.150477007,1.592699885,1,1,1
ET061025,0,2,-0.097249202,1.678242922,1,1,1
ET061026,0,2,-0.210644007,1.49600482,1,1,1
ET061028,0,2,-0.424291015,1.152650476,1,1,1
ET061029,0,2,0.473664999,2.595765352,1,1,1
ET061031,0,2,-0.161981001,1.574211717,1,1,1
ET061033,0,2,-0.356478989,1.261631846,1,1,1
ET061034,0,2,-0.118248001,1.644495487,1,1,1
ET061036,0,2,-0.150644004,1.592431545,1,1,1
ET061037,0,2,-0.448853999,1.113175035,1,1,1
ET061038,0,2,-0.428514987,1.145862103,1,1,1
ET061039,0,2,-0.347974986,1.275298715,1,1,1
ET061040,0,2,0.061391499,1.933196068,1,1,1
ET061041,0,2,-0.031507101,1.783897758,1,1,1
ET061044,0,2,0.331369996,2.367081404,1,1,1
ET061046,0,2,-0.233955994,1.458539963,1,1,1
ET061047,0,2,-0.393920988,1.201458454,1,1,1
ET061049,0,2,-0.249088004,1.434221148,1,1,1
ET061050,0,2,0.0985265,1.992876172,1,1,1
ET061051,0,2,0.0285958,1.880489826,1,1,1
ET061052,0,2,0.0387225,1.896764517,1,1,1
ET061053,0,2,-0.073348202,1.71665442,1,1,1
ET061054,0,2,-0.225319996,1.472418904,1,1,1
ET061056,0,2,-0.389043003,1.209297895,1,1,1
ET061057,0,2,-0.768330991,0.599740028,1,1,1
ET061058,0,2,-0.65517801,0.781589448,1,1,1
ET061059,0,2,-0.311975986,1.333153129,1,1,1
ET071001,0,2,-0.0151741,1.810146689,1,1,1
ET071002,0,2,-0.185574993,1.536293507,1,1,1
ET071003,0,2,-0.405876994,1.182243824,1,1,1
ET071004,0,2,0.063294098,1.936253786,1,1,1
ET071005,0,2,-0.372577012,1.23576057,1,1,1
ET071006,0,2,-0.259030998,1.41824162,1,1,1
ET071007,0,2,-0.145144001,1.601270676,1,1,1
ET071008,0,2,-0.135113001,1.617391586,1,1,1
ET071009,0,2,-0.64647001,0.795584142,1,1,1
ET071010,0,2,-0.505258024,1.022527456,1,1,1
ET071012,0,2,-0.301705003,1.349659801,1,1,1
ET071013,0,2,0.076521903,1.957512379,1,1,1
ET071014,0,2,-0.26423499,1.409878254,1,1,1
ET071015,0,2,0.068330303,1.944347501,1,1,1
ET071016,0,2,-0.884070992,0.413733035,1,1,1
ET071017,0,2,0.322297007,2.3525002,1,1,1
ET071018,0,2,0.142275006,2.063184977,1,1,1
ET071019,0,2,0.076583497,1.957611322,1,1,1
ET071020,0,2,-0.006369,1.824297428,1,1,1
ET071021,0,2,-0.125685006,1.632543445,1,1,1
ET071024,0,2,0.097621799,1.991422176,1,1,1
ET071025,0,2,0.338111997,2.377916574,1,1,1
ET071026,0,2,0.195899993,2.14936614,1,1,1
ET071027,0,2,-0.476029992,1.069500208,1,1,1
ET071028,0,2,-0.277278006,1.388916612,1,1,1
ET071029,0,2,-0.629536986,0.822797418,1,1,1
ET071030,0,2,0.062283602,1.934629798,1,1,1
ET071031,0,2,-0.474595994,1.071804762,1,1,1
ET071032,0,2,0.100723997,1.996407747,1,1,1
ET071033,0,2,0.0137162,1.856576562,1,1,1
ET071034,0,2,0.145603999,2.068534851,1,1,1
ET071035,0,2,-0.439916998,1.127537727,1,1,1
ET071036,0,2,-0.284669995,1.377036929,1,1,1
ET071037,0,2,-0.209333003,1.498111844,1,1,1
ET071038,0,2,-0.761865973,0.610130072,1,1,1
ET071039,0,2,-0.0786824,1.708081841,1,1,1
ET071040,0,2,-0.089238502,1.691116929,1,1,1
ET071041,0,2,0.243643999,2.226096153,1,1,1
ET071042,0,2,-0.431394994,1.141233563,1,1,1
ET071043,0,2,0.420610994,2.510501623,1,1,1
ET071044,0,2,-0.0341097,1.779715061,1,1,1
ET071045,0,2,-0.538735986,0.968724668,1,1,1
ET071046,0,2,-0.335186988,1.295850515,1,1,1
ET071047,0,2,0.131163001,2.04532671,1,1,1
ET071048,0,2,0.690546989,2.944318771,1,1,1
ET071049,0,2,-0.46329999,1.089958668,1,1,1
ET071050,0,2,0.086259499,1.973161697,1,1,1
ET091003,0,2,-0.495972008,1.037451148,1,1,1
ET091005,0,2,-1.232200027,-0.145748928,1,1,1
ET091007,0,2,-0.883376002,0.414849967,1,1,1
ET091020,0,2,-0.555269003,0.942154288,1,1,1
ET091021,0,2,-0.230442002,1.464187264,1,1,1
ET091029,0,2,-0.546645999,0.956012428,1,1,1
ET091034,0,2,-0.720843971,0.676056981,1,1,1
ET091046,0,2,-0.404837012,1.183915138,1,1,1
ET101001,0,2,0.207049996,2.167285442,1,1,1
ET101002,0,2,1.560580015,4.342558384,1,1,1
ET101005,0,2,0.088955604,1.977494717,1,1,1
ET101011,0,2,1.767529964,4.675149918,1,1,1
ET101014,0,2,-0.072950497,1.71729362,1,1,1
ET101019,0,2,0.614543021,2.822171926,1,1,1
ET101025,0,2,1.313760042,3.945891142,1,1,1
ET101027,0,2,0.366041988,2.422803164,1,1,1
ET101028,0,2,-0.276602,1.390003085,1,1,1
ET101029,0,2,-0.699705005,0.710029602,1,1,1
ET101032,0,2,0.441633999,2.54428792,1,1,1
ET101033,0,2,1.308400035,3.937277079,1,1,1
ET101035,0,2,0.43590799,2.535085678,1,1,1
ET101036,0,2,0.668969989,2.90964222,1,1,1
ET101038,0,2,-0.0159063,1.808969975,1,1,1
ET101040,0,2,0.030813299,1.884053588,1,1,1
ET101042,0,2,0.30350399,2.322297812,1,1,1
ET101043,0,2,0.834758997,3.176083326,1,1,1
ET101046,0,2,0.437130988,2.537051201,1,1,1
ET101047,0,2,0.364439994,2.42022872,1,1,1
ET101049,0,2,0.158723995,2.089620113,1,1,1
ET111006,0,2,0.0671212,1.942404389,1,1,1
ET111013,0,2,-0.780040026,0.580922306,1,1,1
ET111021,0,2,0.171147004,2.109585285,1,1,1
ET111024,0,2,-0.407141,1.180212379,1,1,1
ET111037,0,2,1.136180043,3.660500526,1,1,1
ET121004,0,2,0.311307997,2.334839582,1,1,1
ET121008,0,2,0.173126996,2.112767458,1,1,1
ET121012,0,2,-0.866959989,0.441232324,1,1,1
ET121023,0,2,-0.089379199,1.690890908,1,1,1
ET121029,0,2,-0.173730001,1.5553298,1,1,1
ET121038,0,2,0.268227011,2.265603781,1,1,1
ET121044,0,2,-0.335238993,1.29576695,1,1,1
ET121047,0,2,-0.302076995,1.349061966,1,1,1
ET121053,0,2,-0.883143008,0.415224403,1,1,1
ET121055,0,2,-0.485606998,1.054108858,1,1,1
ET131005,0,2,-0.276562005,1.390067339,1,1,1
ET131007,0,2,0.0214903,1.869070411,1,1,1
ET131008,0,2,0.086225703,1.973107457,1,1,1
ET131009,0,2,0.0311726,1.884630919,1,1,1
ET131013,0,2,-0.089354701,1.690930247,1,1,1
ET131017,0,2,0.093940899,1.985506535,1,1,1
ET131023,0,2,0.627330005,2.842721939,1,1,1
ET131025,0,2,0.720004976,2.991661072,1,1,1
ET131028,0,2,0.540717006,2.703525305,1,1,1
ET131029,0,2,0.307913005,2.329383373,1,1,1
ET131035,0,2,-0.565860987,0.925131798,1,1,1
ET131037,0,2,0.181332007,2.125953674,1,1,1
ET131041,0,2,0.0900435,1.97924304,1,1,1
ET131046,0,2,0.623456001,2.836496115,1,1,1
ET131047,0,2,0.254536003,2.243600845,1,1,1
ET131048,0,2,0.477972001,2.60268712,1,1,1
ET131049,0,2,0.483103991,2.610934734,1,1,1
ET131050,0,2,0.222154006,2.191559315,1,1,1
ET141001,0,2,0.693839014,2.94960928,1,1,1
ET141002,0,2,0.376973987,2.440372229,1,1,1
ET141004,0,2,0.193020001,2.14473772,1,1,1
ET141005,0,2,0.740010023,3.02381134,1,1,1
ET141006,0,2,0.261301011,2.254472733,1,1,1
ET141007,0,2,1.009299994,3.456590176,1,1,1
ET141008,0,2,0.876554012,3.243252754,1,1,1
ET141009,0,2,1.548169971,4.322614193,1,1,1
ET141010,0,2,1.167109966,3.710208178,1,1,1
ET141011,0,2,0.176437005,2.118087053,1,1,1
ET141012,0,2,0.313841999,2.33891201,1,1,1
ET141013,0,2,0.442202985,2.545202494,1,1,1
ET141014,0,2,0.0705688,1.947944999,1,1,1
ET141015,0,2,0.343625993,2.386778116,1,1,1
ET141016,0,2,1.189339995,3.745934486,1,1,1
ET141017,0,2,0.738511026,3.021402359,1,1,1
ET141018,0,2,-0.075238399,1.713616729,1,1,1
ET141019,0,2,1.04516995,3.514237165,1,1,1
ET141020,0,2,0.92722398,3.324684858,1,1,1
ET141021,0,2,0.362646997,2.417347193,1,1,1
ET141022,0,2,0.311875999,2.335752487,1,1,1
ET141023,0,2,1.215319991,3.787687063,1,1,1
ET141024,0,2,0.872941017,3.23744607,1,1,1
ET141025,0,2,0.603344977,2.804175377,1,1,1
ET141026,0,2,0.242412001,2.224116087,1,1,1
ET141028,0,2,1.195960045,3.756573439,1,1,1
ET141029,0,2,0.949774027,3.360925436,1,1,1
ET141030,0,2,0.125846997,2.036783218,1,1,1
ET141031,0,2,1.661859989,4.505326271,1,1,1
ET141032,0,2,0.660260975,2.895645857,1,1,1
ET141033,0,2,0.739322007,3.022705555,1,1,1
ET141034,0,2,0.466071993,2.583562613,1,1,1
ET141035,0,2,1.08781004,3.582764626,1,1,1
ET141036,0,2,1.378540039,4.049999714,1,1,1
ET141037,0,2,0.75060302,3.040835381,1,1,1
ET141038,0,2,0.322676986,2.35311079,1,1,1
ET141039,0,2,0.127542004,2.039507389,1,1,1
ET141040,0,2,0.102283999,1.998914838,1,1,1
ET141041,0,2,0.383195996,2.450371504,1,1,1
ET141042,0,2,-0.433642,1.137622356,1,1,1
ET141043,0,2,0.245276004,2.228718996,1,1,1
ET141045,0,2,-0.479800999,1.063439727,1,1,1
ET141047,0,2,-0.036444601,1.775962591,1,1,1
ET141048,0,2,1.33378005,3.978065491,1,1,1
ET141049,0,2,0.531521022,2.688746452,1,1,1
ET141050,0,2,1.49119997,4.23105669,1,1,1
ET151024,0,2,-0.186983004,1.534030676,1,1,1
ET151043,0,2,-0.038300201,1.772980452,1,1,1
ET161031,0,2,0.535184026,2.694633245,1,1,1
ET011001,0,3,1.581200004,4.375696659,1,2,1
ET011002,0,3,1.077759981,3.566612959,1,2,1
ET011003,0,3,0.679265976,2.926188946,1,2,1
ET011004,0,3,0.787756026,3.100544453,1,2,1
ET011005,0,3,1.203420043,3.768562555,1,2,1
ET011006,0,3,0.859049022,3.215120077,1,2,1
ET011007,0,3,1.467479944,4.192935944,1,2,1
ET011008,0,3,0.653609991,2.884956837,1,2,1
ET011009,0,3,1.52196002,4.280491829,1,2,1
ET011010,0,3,1.440150023,4.149013996,1,2,1
ET011012,0,3,1.348549962,4.001802444,1,2,1
ET011013,0,3,1.470239997,4.19737196,1,2,1
ET011014,0,3,1.614480019,4.429181576,1,2,1
ET011015,0,3,1.551689982,4.328270912,1,2,1
ET011016,0,3,0.568572998,2.748292923,1,2,1
ET011017,0,3,2.054480076,5.136310577,1,2,1
ET011018,0,3,0.783062994,3.093002319,1,2,1
ET011019,0,3,1.315160036,3.948141098,1,2,1
ET011020,0,3,0.873744011,3.238736629,1,2,1
ET011021,0,3,0.152170002,2.079087257,1,2,1
ET011022,0,3,1.949569941,4.967708111,1,2,1
ET011023,0,3,-0.34939,1.273024678,1,2,1
ET011024,0,3,0.920120001,3.313267946,1,2,1
ET011025,0,3,1.118029952,3.631331205,1,2,1
ET011026,0,3,1.353860021,4.010336399,1,2,1
ET011027,0,3,1.115170002,3.626734972,1,2,1
ET011028,0,3,0.646273017,2.873165607,1,2,1
ET011029,0,3,0.871197999,3.23464489,1,2,1
ET011030,0,3,0.958689988,3.375254154,1,2,1
ET011031,0,3,1.579079986,4.372289658,1,2,1
ET011032,0,3,1.232249975,3.814895391,1,2,1
ET011033,0,3,0.630982995,2.848592758,1,2,1
ET011034,0,3,0.629963994,2.846955061,1,2,1
ET011035,0,3,0.91535902,3.305616617,1,2,1
ET011036,0,3,1.761700034,4.665780544,1,2,1
ET011037,0,3,1.202440023,3.766987562,1,2,1
ET011038,0,3,0.525334001,2.678803205,1,2,1
ET011039,0,3,0.922885001,3.317711592,1,2,1
ET011040,0,3,1.017680049,3.470057726,1,2,1
ET011042,0,3,0.782894015,3.092730761,1,2,1
ET011043,0,3,0.452217996,2.561297655,1,2,1
ET011044,0,3,0.93146801,3.331505537,1,2,1
ET011045,0,3,1.053609967,3.527801275,1,2,1
ET011046,0,3,1.371119976,4.03807497,1,2,1
ET011048,0,3,1.060410023,3.538729668,1,2,1
ET011049,0,3,1.807739973,4.739771843,1,2,1
ET011050,0,3,1.546749949,4.32033205,1,2,1
ET021001,0,3,0.90645802,3.291311741,1,2,1
ET021002,0,3,1.927670002,4.93251276,1,2,1
ET021003,0,3,0.223681003,2.194013357,1,2,1
ET021004,0,3,1.007099986,3.453054428,1,2,1
ET021005,0,3,0.552784026,2.722918272,1,2,1
ET021006,0,3,1.429340005,4.131640911,1,2,1
ET021007,0,3,0.686052024,2.937094927,1,2,1
ET021008,0,3,1.83623004,4.785558224,1,2,1
ET021009,0,3,-0.0633673,1.732694864,1,2,1
ET021010,0,3,1.519050002,4.27581501,1,2,1
ET021011,0,3,0.303038001,2.3215487,1,2,1
ET021012,0,3,0.304762006,2.324319601,1,2,1
ET021013,0,3,1.439749956,4.148370743,1,2,1
ET021014,0,3,1.086689949,3.580964327,1,2,1
ET021015,0,3,0.930804014,3.330438375,1,2,1
ET021016,0,3,1.094630003,3.593724966,1,2,1
ET021017,0,3,0.345766008,2.390217543,1,2,1
ET021018,0,3,-0.02021,1.802053452,1,2,1
ET021019,0,3,0.942700028,3.349556684,1,2,1
ET021020,0,3,1.873579979,4.845583916,1,2,1
ET021021,0,3,0.819095016,3.150909662,1,2,1
